,carat,cut,color,clarity,depth,table,price,x,y,z,volume,surface_area
48686,0.71,Good,F,SI2,64.1,60.0,2130,0.0,0.0,0.0,0.0,0.0
48687,0.71,Good,F,SI2,64.1,60.0,2130,0.0,0.0,0.0,0.0,0.0
24380,1.56,Ideal,G,VS2,62.2,54.0,12800,0.0,0.0,0.0,0.0,0.0
25931,1.2,Premium,D,VVS1,62.1,59.0,15686,0.0,0.0,0.0,0.0,0.0
15907,1.14,Fair,G,VS1,57.5,67.0,6381,0.0,0.0,0.0,0.0,0.0
11923,1.0,Very Good,H,VS2,63.3,53.0,5139,0.0,0.0,0.0,0.0,0.0
11142,1.07,Ideal,F,SI2,61.6,56.0,4954,0.0,6.62,0.0,0.0,13.24
39202,0.24,Good,F,IF,65.1,58.0,492,3.86,3.88,2.52,37.741535999999996,20.52
39198,0.24,Good,E,VVS2,65.0,58.0,492,3.85,3.9,2.52,37.8378,20.54
27642,0.24,Very Good,E,VS2,64.1,59.0,362,3.88,3.92,2.5,38.024,20.6
27988,0.24,Very Good,G,VVS1,62.3,59.0,432,3.92,3.95,2.45,37.9358,20.64
62,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,37.9358,20.64
27653,0.24,Very Good,E,VS2,64.5,57.0,367,3.88,3.93,2.52,38.425968,20.66
35913,0.24,Very Good,E,VVS2,62.8,58.0,478,3.92,3.95,2.47,38.24548,20.68
52069,0.24,Very Good,E,VVS1,63.7,57.0,552,3.92,3.93,2.5,38.513999999999996,20.7
13324,0.24,Very Good,F,VS1,63.0,58.0,419,3.92,3.95,2.48,38.40032,20.7
34261,0.24,Good,F,VVS2,64.0,61.0,471,3.91,3.93,2.51,38.569413,20.7
36224,0.24,Very Good,E,VVS1,63.4,57.0,478,3.91,3.95,2.49,38.45680500000001,20.700000000000003
39197,0.24,Good,F,VVS2,65.0,58.0,492,3.89,3.93,2.54,38.830758,20.72
52076,0.24,Ideal,F,VVS2,62.6,57.0,552,3.93,3.96,2.47,38.440116,20.720000000000002
37530,0.24,Good,F,VS1,60.2,65.0,383,3.97,4.0,2.4,38.112,20.740000000000002
39199,0.24,Good,F,VVS1,64.8,57.0,492,3.9,3.94,2.54,39.02964,20.759999999999998
36879,0.24,Very Good,F,VVS1,63.5,54.0,485,3.92,3.96,2.5,38.808,20.759999999999998
35920,0.24,Very Good,F,VVS1,61.8,58.0,478,3.95,3.98,2.45,38.516450000000006,20.759999999999998
35918,0.24,Very Good,D,VVS2,61.5,58.0,478,3.96,3.98,2.44,38.456351999999995,20.759999999999998
52066,0.24,Very Good,F,VVS1,61.8,59.0,552,3.93,4.0,2.45,38.514,20.759999999999998
34233,0.24,Good,F,VS1,60.8,64.0,373,3.96,4.0,2.42,38.3328,20.759999999999998
51752,0.24,Very Good,E,VVS2,63.1,56.0,552,3.92,3.97,2.49,38.750376,20.76
27654,0.24,Very Good,D,VS1,61.1,60.0,367,3.96,3.99,2.43,38.394972,20.76
2,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,38.693951999999996,20.76
27665,0.24,Ideal,J,VVS2,62.8,57.0,432,3.96,3.94,2.48,38.693951999999996,20.76
30953,0.24,Very Good,F,VS1,62.5,55.0,373,3.94,3.97,2.47,38.635246,20.76
36881,0.24,Very Good,E,VVS1,62.8,59.0,485,3.94,3.96,2.48,38.693951999999996,20.76
39200,0.24,Good,E,VVS1,60.8,64.0,492,3.97,3.99,2.42,38.333526,20.76
13325,0.24,Very Good,F,VS1,62.5,58.0,419,3.95,3.96,2.47,38.635740000000006,20.76
15,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,38.635246,20.76
36566,0.24,Very Good,E,VVS2,64.4,53.0,485,3.92,3.94,2.53,39.075343999999994,20.779999999999998
36885,0.24,Very Good,E,VVS1,61.7,58.0,485,3.94,4.0,2.45,38.612,20.78
13326,0.24,Very Good,F,VS1,63.0,59.0,419,3.93,3.97,2.49,38.84922900000001,20.78
36882,0.24,Very Good,E,VVS1,61.7,61.0,485,3.95,3.99,2.45,38.61322500000001,20.78
13327,0.24,Very Good,E,VS1,62.4,59.0,419,3.94,3.98,2.47,38.732564,20.78
36884,0.24,Very Good,E,VVS1,61.7,58.0,485,3.95,3.99,2.45,38.61322500000001,20.78
51747,0.24,Very Good,F,VVS2,62.0,58.0,552,3.95,3.98,2.46,38.67366,20.78
47460,0.24,Ideal,F,VS1,62.0,56.0,536,3.99,3.94,2.46,38.672676,20.78
9994,0.24,Very Good,F,VS1,62.0,56.0,417,3.94,3.99,2.46,38.672676,20.78
3,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,38.830870000000004,20.8
27664,0.24,Ideal,I,VVS1,62.3,57.0,432,3.98,3.95,2.47,38.830870000000004,20.8
